impl,L,recall,avg_dist_cmps,avg_lat_us,p99_lat_us
Vamana,10,0.7939,483.9,120.0,347.6
Vamana,20,0.8955,695.9,165.6,276.7
Vamana,30,0.9345,896.2,232.8,437.9
Vamana,50,0.9676,1274.6,383.0,938.5
Vamana,75,0.9833,1719.3,621.8,2467.6
Vamana,100,0.9896,2139.8,796.1,6049.8
Vamana,150,0.9946,2924.9,1205.1,6729.8
Vamana,200,0.9967,3655.2,1697.8,15022.0
IVRG,10,0.7927,379.5,97.5,270.2
IVRG,20,0.8933,591.4,157.1,277.4
IVRG,30,0.9338,790.7,217.6,359.4
IVRG,50,0.9676,1169.6,362.8,570.3
IVRG,75,0.983,1614.9,554.2,1759.3
IVRG,100,0.9894,2035.3,760.6,4162.8
IVRG,150,0.9945,2820.6,1170.0,7070.4
IVRG,200,0.9967,3551.4,1607.9,11181.7
RLG,10,0.7942,498.1,115.4,272.8
RLG,20,0.8955,711.2,171.9,275.9
RLG,30,0.935,911.0,250.8,443.3
RLG,50,0.9679,1291.9,401.9,791.7
RLG,75,0.9836,1740.1,633.2,1763.0
RLG,100,0.9899,2162.2,806.7,3168.5
RLG,150,0.9948,2951.6,1210.7,4366.6
RLG,200,0.9968,3686.1,1647.3,13019.0
Vamana-JL,10,0.6307,514.0,121.5,331.1
Vamana-JL,20,0.8327,747.2,208.2,337.0
Vamana-JL,30,0.901,967.2,304.0,656.0
Vamana-JL,50,0.9519,1381.7,456.7,1538.4
Vamana-JL,75,0.9731,1869.5,658.2,3670.2
Vamana-JL,100,0.9828,2329.2,895.8,6505.3
Vamana-JL,150,0.991,3187.4,1329.0,10601.1
Vamana-JL,200,0.9944,3986.6,1829.1,16180.2
